[Info] 2016-03-26 15:48:00 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:0.000000;distance:0.984278
[Info] 2016-03-26 15:48:01 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:02 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:03 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:04 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:05 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:06 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:07 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:08 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:09 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:10 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:11 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:11 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:12 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:13 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:14 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:15 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:16 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:17 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:18 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:19 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
[Info] 2016-03-26 15:48:20 (ViewController.m:339)-[ViewController outputAccelertion:]:lat:31.027316;lon:121.436696;heading:125.523361;distance:0.000000
